"id_item","Number of users","Rating","Time (seconds)"
"64","0","4.0","47"
"125","2","5.0","145"
"19","1","4.0","290"
"12","1","4.0","349"
"47","2","3.0","446"
"6","2","5.0","492"
"45","3","5.0","552"
"43","2","2.0","809"
"89","1","3.0","1048"
"88","1","4.0","1105"
"34","2","4.0","1260"
"78","3","4.0","1389"
"35","2","3.0","1504"
"71","1","3.0","1608"
"40","4","5.0","1766"
"127","1","3.0","2082"
"79","2","5.0","2323"
"136","2","3.0","2580"
"63","1","3.0","2716"
"134","1","3.0","2972"
"184","1","2.0","3061"
"58","1","4.0","3180"
"36","1","4.0","3240"
"195","1","3.0","3349"
