id_item;Rating;Rating predicted;Time (seconds)
59;5.0;4.3333335;109
60;5.0;4.3660254;150
254;4.0;4.5;474
49;5.0;5.0;474
39;4.0;3.75;611
43;4.0;4.0;611
44;4.0;3.75;611
40;4.0;4.0;746
117;4.0;4.0;809
116;4.0;4.0;809
115;4.0;3.8;809
159;4.0;3.8;809
158;4.0;4.0;809
157;4.0;4.0;809
156;4.0;4.0;809
181;4.0;3.8;1232
114;4.0;3.8;1232
202;4.0;3.8;1232
160;4.0;3.8;1232
34;5.0;3.6218336;1405
33;5.0;3.6218336;1405
32;5.0;3.6218336;1405
6;5.0;3.625;1405
5;5.0;4.0;1588
4;5.0;4.0;1588
19;5.0;4.0;1588
20;5.0;4.0;1588
182;4.0;3.8;1740
180;4.0;3.8;1740
179;3.0;3.8;1740
29;4.0;3.6228251;1963
30;5.0;3.6228251;1963
31;3.0;3.7783272;2215
108;4.0;3.6666667;2252
176;4.0;4.0;2289
107;3.0;4.0;2324
18;3.0;3.5104866;2360
145;3.0;4.0;2411
17;4.0;3.2849927;2451
3;5.0;3.2872915;2497
2;4.0;3.4774864;2534
1;4.0;3.4763994;2576
41;4.0;3.5490456;2661
42;5.0;3.4120996;2729
57;5.0;3.63536;2888
53;5.0;3.7872374;2925
54;5.0;3.1616101;2966
55;3.0;3.3558688;3007
56;4.0;3.0;3049
149;4.0;3.0;3112
150;4.0;3.0;3174
151;4.0;3.0;3210
152;4.0;3.0;3246
178;4.0;3.0;3282
177;4.0;3.0;3321
110;4.0;3.0;3357
111;4.0;3.0;3393
70;3.0;3.0;3429
69;5.0;3.0;3465
68;3.0;3.0;3499
67;3.0;3.0;3533
109;3.0;3.0;3567
